[11-Jan-2022 21:01:19 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 117
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 117
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 122
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 122
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 131
[11-Jan-2022 21:01:19 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 131
[11-Jan-2022 21:01:27 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 117
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 117
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 122
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 122
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 131
[11-Jan-2022 21:01:48 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 131
[11-Jan-2022 21:02:50 UTC] PHP Parse error:  syntax error, unexpected '=', expecting ']' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 11
[11-Jan-2022 21:03:50 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 11
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined index: href in /Applications/MAMP/htdocs/portfolio/contactme.php on line 72
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 72
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:03:58 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:04:51 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:04:51 UTC] PHP Notice:  Undefined index: href in /Applications/MAMP/htdocs/portfolio/contactme.php on line 72
